Country,Country_Code,Region,Population,Area_sq_mi,Pop_Density,Coastline_Ratio,Net_Migration,Infant_Mortality,GDP_per_Capita,Literacy,Phones_per_1000,Arable_Percent,Other_Percent,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Bhutan,BTN,"ASIA (EX. NEAR EAST)",2279723,47000,48.5000,0.0000,0.0000,100.4400,1300,42.2000,43904.0000,44077.0000,96.4800,2.0000,33.6500,44024.0000,0.2580,0.3790,0.3630
Bolivia,BOL,"LATIN AMER. & CARIB",8989046,1098580,8.2000,0.0000,-1.3200,53.1100,2400,87.2000,71.9000,24504.0000,97.1400,1.0000,43913.0000,19541.0000,0.1280,0.3520,0.5200
"Bosnia & Herzegovina",BIH,"EASTERN EUROPE",4498976,51129,88.0000,0.0400,0.3100,43972.0000,6100,NULL,215.4000,43995.0000,83.4400,4.0000,28338.0000,46600.0000,0.1420,0.3080,0.5500
Botswana,BWA,"SUB-SAHARAN AFRICA",1639833,600370,2.7000,0.0000,0.0000,54.5800,9000,79.8000,80.5000,0.6500,99.3400,1.0000,44066.0000,43980.0000,0.0240,0.4690,0.5070
Brazil,BRA,"LATIN AMER. & CARIB",188078227,8511965,22.1000,0.0900,-0.0300,29.6100,7600,86.4000,225.3000,35217.0000,92.1500,2.0000,16.5600,42887.0000,0.0840,0.4000,0.5160
"British Virgin Is.",VGB,"LATIN AMER. & CARIB",23098,153,151.0000,52.2900,43840.0000,43969.0000,16000,97.8000,506.5000,20.0000,73.3300,2.0000,14.8900,15432.0000,0.0180,0.0620,0.9200
Brunei,BRN,"ASIA (EX. NEAR EAST)",379444,5770,65.8000,28887.0000,21610.0000,22616.0000,18600,93.9000,237.2000,0.5700,98.6700,2.0000,18.7900,16497.0000,0.0360,0.5610,0.4030
Bulgaria,BGR,"EASTERN EUROPE",7385367,110910,66.6000,0.3200,-4.5800,20.5500,7600,98.6000,336.3000,40.0200,58.0600,3.0000,23986.0000,14.2700,0.0930,0.3040,0.6030
"Burkina Faso",BFA,"SUB-SAHARAN AFRICA",13902972,274200,50.7000,0.0000,0.0000,97.5700,1100,44008.0000,7.0000,14.4300,85.3800,2.0000,45.6200,43997.0000,0.3220,0.1960,0.4820
Burma,MMR,"ASIA (EX. NEAR EAST)",47382633,678500,69.8000,0.2800,-1.8000,67.2400,1800,85.3000,43840.0000,15.1900,83.8400,2.0000,17.9100,30560.0000,0.5640,0.0820,0.3530
Burundi,BDI,"SUB-SAHARAN AFRICA",8090068,27830,290.7000,0.0000,-0.0600,69.2900,600,51.6000,43924.0000,35.0500,50.9300,2.0000,42.2200,13.4600,0.4630,0.2030,0.3340
Cambodia,KHM,"ASIA (EX. NEAR EAST)",13881427,181040,76.7000,0.2400,0.0000,71.4800,1900,69.4000,43984.0000,20.9600,78.4300,2.0000,44100.0000,43991.0000,0.3500,0.3000,0.3500
Cameroon,CMR,"SUB-SAHARAN AFRICA",17340702,475440,36.5000,0.0800,0.0000,68.2600,1800,79.0000,44017.0000,29921.0000,84.6100,1.0000,33.8900,13.4700,0.4480,0.1700,0.3820
Canada,CAN,"NORTHERN AMERICA",33098932,9984670,3.3000,43863.0000,35186.0000,27485.0000,29800,97.0000,552.2000,35156.0000,95.0200,NULL,28764.0000,44050.0000,0.0220,0.2940,0.6840
"Cape Verde",CPV,"SUB-SAHARAN AFRICA",420979,4033,104.4000,23.9300,-12.0700,47.7700,1400,76.6000,169.6000,25082.0000,89.8200,3.0000,24.8700,20241.0000,0.1210,0.2190,0.6600
"Cayman Islands",CYM,"LATIN AMER. & CARIB",45436,262,173.4000,61.0700,18.7500,43678.0000,35000,98.0000,836.3000,31107.0000,96.1500,2.0000,27364.0000,32599.0000,0.0140,0.0320,0.9540
"Central African Republic",CAF,"SUB-SAHARAN AFRICA",4303356,622984,6.9000,0.0000,0.0000,91.0000,1100,51.0000,43892.0000,43833.0000,96.7600,2.0000,33.9100,18.6500,0.5500,0.2000,0.2500
Chad,TCD,"SUB-SAHARAN AFRICA",9944201,1284000,7.7000,0.0000,-0.1100,93.8200,1200,47.5000,43891.0000,31444.0000,97.1200,2.0000,45.7300,16.3800,0.3350,0.2590,0.4060
Chile,CHL,"LATIN AMER. & CARIB",16134219,756950,21.3000,0.8500,0.0000,44051.0000,9900,96.2000,213.0000,23774.0000,96.9300,3.0000,15.2300,29707.0000,0.0600,0.4930,0.4470
China,CHN,"ASIA (EX. NEAR EAST)",1313973713,9596960,136.9000,0.1500,-0.4000,24.1800,5000,90.9000,266.7000,43936.0000,83.3500,1.0000,13.2500,35582.0000,0.1250,0.4730,0.4030
Colombia,COL,"LATIN AMER. & CARIB",43593035,1138910,38.3000,0.2800,-0.3100,20.9700,6300,92.5000,176.2000,15373.0000,95.9100,2.0000,20.4800,21306.0000,0.1250,0.3420,0.5330
Comoros,COM,"SUB-SAHARAN AFRICA",690948,2170,318.4000,15.6700,0.0000,74.9300,700,56.5000,43975.0000,35.8700,40.8100,2.0000,36.9300,43869.0000,0.4000,0.0400,0.5600
"Congo, Democratic Republic of the",COD,"SUB-SAHARAN AFRICA",62660551,2345410,26.7000,0.0000,0.0000,94.6900,700,65.5000,0.2000,35096.0000,96.5200,2.0000,43.6900,13.2700,0.5500,0.1100,0.3400
"Congo, Republic of the",COG,"SUB-SAHARAN AFRICA",3702314,342000,10.8000,0.0500,-0.1700,93.8600,700,83.8000,44015.0000,0.5100,99.3600,2.0000,42.5700,34304.0000,0.0620,0.5700,0.3690
"Costa Rica",CRI,"LATIN AMER. & CARIB",4075261,51100,79.8000,19025.0000,0.5100,34943.0000,9100,96.0000,340.7000,15067.0000,89.7100,2.0000,18.3200,13241.0000,0.0880,0.2990,0.6140
"Ivory Coast",CIV,"SUB-SAHARAN AFRICA",17654843,322460,54.8000,0.1600,-0.0700,90.8300,1400,50.9000,43996.0000,27638.0000,76.4100,2.0000,35.1100,14.8400,0.2790,0.1710,0.5500
Croatia,HRV,"EASTERN EUROPE",4494749,56542,79.5000,11963.0000,21186.0000,30834.0000,10600,98.5000,420.4000,44100.0000,71.6500,NULL,22525.0000,17838.0000,0.0700,0.3080,0.6220
Cuba,CUB,"LATIN AMER. & CARIB",11382820,110860,102.7000,13575.0000,-1.5800,12206.0000,2900,97.0000,74.7000,33.0500,59.3500,2.0000,32813.0000,44743.0000,0.0550,0.2610,0.6840
Cyprus,CYP,"NEAR EAST",784301,9250,84.8000,43837.0000,0.4300,43282.0000,19200,97.6000,NULL,29037.0000,87.7700,3.0000,20790.0000,25020.0000,0.0370,0.1980,0.7650
"Czech Republic",CZE,"EASTERN EUROPE",10235455,78866,129.8000,0.0000,0.9700,34029.0000,15700,99.9000,314.3000,39.8000,57.1500,3.0000,43870.0000,21824.0000,0.0340,0.3930,0.5730
Denmark,DNK,"WESTERN EUROPE",5450661,43094,126.5000,16.9700,17564.0000,20546.0000,31100,100.0000,614.6000,54.0200,45.7900,3.0000,41579.0000,13424.0000,0.0180,0.2460,0.7350
Djibouti,DJI,"SUB-SAHARAN AFRICA",486530,23000,21.2000,13516.0000,0.0000,104.1300,1300,67.9000,44065.0000,0.0400,99.9600,1.0000,39.5300,19.3100,0.1790,0.2250,0.5960
Dominica,DMA,"LATIN AMER. & CARIB",68910,754,91.4000,19.6300,-13.8700,14.1500,5400,94.0000,304.8000,24624.0000,73.3300,2.0000,15.2700,26816.0000,0.1770,0.3280,0.4950
"Dominican Republic",DOM,"LATIN AMER. & CARIB",9183984,48730,188.5000,23408.0000,-3.2200,32.3800,6000,84.7000,97.4000,22.6500,67.0200,2.0000,23.2200,26785.0000,0.1120,0.3060,0.5820
"East Timor",TLS,"ASIA (EX. NEAR EAST)",1062777,15007,70.8000,44016.0000,0.0000,47.4100,500,58.6000,NULL,26024.0000,94.6200,2.0000,26.9900,45444.0000,0.0850,0.2310,0.6840
Ecuador,ECU,"LATIN AMER. & CARIB",13547510,283560,47.8000,0.7900,-8.5800,23.6600,3300,92.5000,125.6000,31168.0000,89.2200,2.0000,22.2900,45017.0000,0.0700,0.3120,0.6180
Egypt,EGY,"NORTHERN AFRICA",78887007,1001450,78.8000,0.2400,-0.2200,32.5900,4000,57.7000,131.8000,31809.0000,96.6500,1.0000,22.9400,45047.0000,0.1490,0.3570,0.4930
"El Salvador",SLV,"LATIN AMER. & CARIB",6822378,21040,324.3000,16803.0000,-3.7400,43855.0000,4800,80.2000,142.4000,31.8500,56.0800,2.0000,26.6100,28611.0000,0.0990,0.3020,0.5990
"Equatorial Guinea",GNQ,"SUB-SAHARAN AFRICA",540109,28051,19.3000,43983.0000,0.0000,85.1300,2700,85.7000,43969.0000,23102.0000,91.8000,2.0000,35.5900,43997.0000,0.0300,0.9060,0.0620
Eritrea,ERI,"SUB-SAHARAN AFRICA",4786994,121320,39.5000,30682.0000,0.0000,74.8700,700,58.6000,44081.0000,34790.0000,95.0200,1.0000,34.3300,43991.0000,0.1020,0.2540,0.6430
Estonia,EST,BALTICS,1324333,45226,29.3000,14458.0000,-3.1600,31959.0000,12300,99.8000,333.8000,43937.0000,83.5100,3.0000,43931.0000,13.2500,0.0400,0.2940,0.6660
Ethiopia,ETH,"SUB-SAHARAN AFRICA",74777981,1127127,66.3000,0.0000,0.0000,95.3200,700,42.7000,43869.0000,26207.0000,88.5400,2.0000,37.9800,14.8600,0.4750,0.0990,0.4260
"Faroe Islands",FRO,"WESTERN EUROPE",47246,1399,33.8000,79.8400,14977.0000,45444.0000,22000,NULL,503.8000,41671.0000,97.8600,NULL,43965.0000,44020.0000,0.2700,0.1100,0.6200
Fiji,FJI,OCEANIA,905949,18270,49.6000,43252.0000,-3.1400,22981.0000,5800,93.7000,112.6000,34973.0000,84.4000,2.0000,22.5500,23863.0000,0.0890,0.1350,0.7760
Finland,FIN,"WESTERN EUROPE",5231372,338145,15.5000,0.3700,0.9500,20880.0000,27400,100.0000,405.3000,43647.0000,92.7800,3.0000,16711.0000,31656.0000,0.0280,0.2950,0.6760
France,FRA,"WESTERN EUROPE",60876136,547030,111.3000,0.6300,0.6600,46113.0000,27600,99.0000,586.4000,33.5300,64.4000,4.0000,36465.0000,41883.0000,0.0220,0.2140,0.7640
"French Guiana",GUF,"LATIN AMER. & CARIB",199509,91000,2.2000,0.4200,46539.0000,44024.0000,8300,83.0000,255.6000,0.1400,99.8100,2.0000,20.4600,32234.0000,0.0660,0.1560,0.7780
"French Polynesia",PYF,OCEANIA,274578,4167,65.9000,60.6000,34366.0000,16285.0000,17500,98.0000,194.5000,0.8200,93.7200,2.0000,16.6800,25294.0000,0.0310,0.1900,0.7690
Gabon,GAB,"SUB-SAHARAN AFRICA",1424906,267667,5.3000,0.3300,0.0000,53.6400,5500,63.2000,43948.0000,46023.0000,98.0800,2.0000,36.1600,45992.0000,0.0610,0.5920,0.3480
Gambia,GMB,"SUB-SAHARAN AFRICA",1641564,11300,145.3000,0.7100,20821.0000,72.0200,1700,40.1000,44069.0000,25.0000,74.5000,2.0000,39.3700,45992.0000,0.3080,0.1420,0.5490
"Gaza Strip",PSE,"NEAR EAST",1428757,360,3968.8000,44146.0000,43983.0000,22.9300,600,NULL,244.3000,28.9500,50.0000,3.0000,39.4500,44046.0000,0.0300,0.2830,0.6870
Georgia,GEO,"C.W. OF IND. STATES",4661473,69700,66.9000,0.4400,-4.7000,18.5900,2500,99.0000,146.6000,16377.0000,84.7000,3.0000,15250.0000,45170.0000,0.1720,0.2750,0.5530
Germany,DEU,"WESTERN EUROPE",82422299,357021,230.9000,0.6700,43132.0000,42461.0000,27600,99.0000,667.9000,33.8500,65.5600,3.0000,45870.0000,22920.0000,0.0090,0.2960,0.6950
Ghana,GHA,"SUB-SAHARAN AFRICA",22409572,239460,93.6000,0.2300,-0.6400,51.4300,2200,74.8000,43935.0000,16.2600,74.0700,2.0000,30.5200,26543.0000,0.3660,0.2460,0.3870
Gibraltar,GIB,"WESTERN EUROPE",27928,7,3989.7000,171.4300,0.0000,41395.0000,17500,NULL,877.7000,0.0000,100.0000,NULL,27303.0000,11567.0000,NULL,NULL,NULL
Greece,GRC,"WESTERN EUROPE",10688058,131940,81.0000,13789.0000,12816.0000,19480.0000,20000,97.5000,589.7000,43851.0000,70.1200,3.0000,25082.0000,45566.0000,0.0540,0.2130,0.7330
Greenland,GRL,"NORTHERN AMERICA",56361,2166086,0.0000,43923.0000,-8.3700,15.8200,20000,NULL,448.9000,0.0000,100.0000,1.0000,15.9300,30864.0000,NULL,NULL,NULL
Grenada,GRD,"LATIN AMER. & CARIB",89703,344,260.8000,35.1700,-13.9200,14.6200,5000,98.0000,364.5000,32264.0000,64.7100,2.0000,44065.0000,32295.0000,0.0540,0.1800,0.7660
Guadeloupe,GLP,"LATIN AMER. & CARIB",452776,1780,254.4000,17.1900,-0.1500,43990.0000,8000,90.0000,463.8000,45597.0000,85.2100,2.0000,43966.0000,44080.0000,0.1500,0.1700,0.6800
Guam,GUM,OCEANIA,171019,541,316.1000,43884.0000,0.0000,34486.0000,21000,99.0000,492.0000,44083.0000,74.5500,2.0000,18.7900,17624.0000,NULL,NULL,NULL
Guatemala,GTM,"LATIN AMER. & CARIB",12293545,108890,112.9000,0.3700,-1.6700,35.9300,4100,70.6000,92.1000,20059.0000,82.4300,2.0000,29.8800,43866.0000,0.2270,0.1880,0.5850
Guernsey,GGY,"WESTERN EUROPE",65409,78,838.6000,64.1000,30742.0000,26024.0000,20000,NULL,842.4000,NULL,NULL,3.0000,29799.0000,43840.0000,0.0300,0.1000,0.8700
Guinea,GIN,"SUB-SAHARAN AFRICA",9690222,245857,39.4000,0.1300,-3.0600,90.3700,2100,35.9000,44014.0000,23071.0000,93.7900,2.0000,41.7600,15.4800,0.2370,0.3620,0.4010
Guinea-Bissau,GNB,"SUB-SAHARAN AFRICA",1442029,36120,39.9000,0.9700,-1.5700,107.1700,800,42.4000,43928.0000,24746.0000,80.5100,2.0000,37.2200,16.5300,0.6200,0.1200,0.2600
Guyana,GUY,"LATIN AMER. & CARIB",767245,214970,3.6000,0.2100,-2.0700,33.2600,4000,98.8000,143.5000,16103.0000,97.4100,2.0000,18.2800,46966.0000,0.3700,0.2030,0.4270
Haiti,HTI,"LATIN AMER. & CARIB",8308504,27750,299.4000,14032.0000,-3.4000,73.4500,1600,52.9000,44090.0000,43918.0000,60.0900,2.0000,36.4400,43070.0000,0.2800,0.2000,0.5200
Honduras,HND,"LATIN AMER. & CARIB",7326496,112090,65.4000,0.7300,-1.9900,29.3200,2600,76.2000,67.5000,20333.0000,87.2300,2.0000,28.2400,46874.0000,0.1390,0.3120,0.5490
"Hong Kong",HKG,"ASIA (EX. NEAR EAST)",6940432,1092,6355.7000,67.1200,45413.0000,35462.0000,28800,93.5000,546.7000,43956.0000,93.9400,2.0000,47300.0000,47270.0000,0.0010,0.0920,0.9060
Hungary,HUN,"EASTERN EUROPE",9981334,93030,107.3000,0.0000,0.8600,21033.0000,13900,99.4000,336.2000,50.0900,47.8500,3.0000,26543.0000,44148.0000,0.0370,0.3120,0.6510
Iceland,ISL,"WESTERN EUROPE",299388,103000,2.9000,30407.0000,13912.0000,11383.0000,30900,99.9000,647.7000,0.0700,99.9300,3.0000,13.6400,26451.0000,0.0860,0.1500,0.7650
India,IND,"ASIA (EX. NEAR EAST)",1095351995,3287590,333.2000,0.2100,-0.0700,56.2900,2900,59.5000,45.4000,54.4000,42.8600,2.0000,43852.0000,43313.0000,0.1860,0.2760,0.5380
Indonesia,IDN,"ASIA (EX. NEAR EAST)",245452739,1919440,127.9000,31079.0000,0.0000,35.6000,3200,87.9000,52.0000,11994.0000,81.4500,2.0000,20.3400,45809.0000,0.1340,0.4580,0.4080
Iran,IRN,"ASIA (EX. NEAR EAST)",68688433,1648000,41.7000,0.1500,-0.8400,41.5800,7000,79.4000,276.4000,26512.0000,89.8900,1.0000,17.0000,20210.0000,0.1160,0.4240,0.4600
Iraq,IRQ,"NEAR EAST",26783383,437072,61.3000,0.0100,0.0000,50.2500,1500,40.4000,38.6000,13.1500,86.0700,1.0000,31.9800,13636.0000,0.0730,0.6660,0.2610
Ireland,IRL,"WESTERN EUROPE",4062235,70280,57.8000,43984.0000,36251.0000,14366.0000,29600,98.0000,500.5000,43876.0000,84.7700,3.0000,14.4500,30133.0000,0.0500,0.4600,0.4900
"Isle of Man",IMN,"WESTERN EUROPE",75441,572,131.9000,27.9700,13271.0000,34090.0000,21000,NULL,676.0000,9.0000,91.0000,3.0000,43962.0000,43770.0000,0.0100,0.1300,0.8600
Israel,ISR,"NEAR EAST",6352117,20770,305.8000,11324.0000,0.6800,43897.0000,19800,95.4000,462.3000,16.3900,79.4400,3.0000,17.9700,43252.0000,0.0260,0.3170,0.6570
Italy,ITA,"WESTERN EUROPE",58133509,301230,193.0000,19025.0000,44014.0000,34455.0000,26700,98.6000,430.9000,27.7900,62.6800,NULL,26512.0000,43931.0000,0.0210,0.2910,0.6880
Jamaica,JAM,"LATIN AMER. & CARIB",2758124,10991,250.9000,43899.0000,-4.9200,13485.0000,3900,87.9000,124.0000,44028.0000,73.7700,2.0000,20.8200,19146.0000,0.0490,0.3370,0.6150
Japan,JPN,"ASIA (EX. NEAR EAST)",127463611,377835,337.4000,31959.0000,0.0000,46082.0000,28200,99.0000,461.2000,43800.0000,86.8500,3.0000,13759.0000,42614.0000,0.0170,0.2580,0.7250
Jersey,JEY,"WESTERN EUROPE",91084,116,785.2000,60.3400,27791.0000,45413.0000,24800,NULL,811.3000,0.0000,100.0000,3.0000,43899.0000,46997.0000,0.0500,0.0200,0.9300
Jordan,JOR,"NEAR EAST",5906760,92300,64.0000,0.0300,21702.0000,17.3500,4300,91.3000,104.5000,24504.0000,95.5000,1.0000,21.2500,23774.0000,0.0330,0.2870,0.6800
Kazakhstan,KAZ,"C.W. OF IND. STATES",15233244,2717300,5.6000,0.0000,-3.3500,29.2100,6300,98.4000,164.1000,35977.0000,91.9700,4.0000,16.0000,15585.0000,0.0670,0.3860,0.5470
Kenya,KEN,"SUB-SAHARAN AFRICA",34707817,582650,59.6000,0.0900,-0.1000,61.4700,1000,85.1000,43838.0000,44051.0000,90.9400,1.0000,39.7200,43875.0000,0.1630,0.1880,0.6510
Kiribati,KIR,OCEANIA,105432,811,130.0000,140.9400,0.0000,48.5200,800,NULL,42.7000,27061.0000,46.5800,2.0000,30.6500,46235.0000,0.0890,0.2420,0.6680
"North Korea",PRK,"ASIA (EX. NEAR EAST)",23113019,120540,191.8000,44014.0000,0.0000,43945.0000,1300,99.0000,42.4000,20.7600,76.7500,3.0000,15.5400,41456.0000,0.3000,0.3400,0.3600
"South Korea",KOR,"ASIA (EX. NEAR EAST)",48846823,98480,496.0000,16469.0000,0.0000,43958.0000,17800,97.9000,486.1000,17.1800,80.8700,3.0000,10.0000,31168.0000,0.0330,0.4030,0.5630
Kuwait,KWT,"NEAR EAST",2418393,17820,135.7000,44045.0000,14.1800,34943.0000,19000,83.5000,211.0000,0.7300,99.1600,1.0000,21.9400,15008.0000,0.0040,0.4790,0.5160
Kyrgyzstan,KGZ,"C.W. OF IND. STATES",5213898,198500,26.3000,0.0000,-2.4500,35.6400,1600,97.0000,84.0000,43897.0000,92.3500,2.0000,44065.0000,44050.0000,0.3530,0.2080,0.4390
Laos,LAO,"ASIA (EX. NEAR EAST)",6368481,236800,26.9000,0.0000,0.0000,85.2200,1700,66.4000,43844.0000,44046.0000,95.8500,2.0000,35.4900,20394.0000,0.4550,0.2870,0.2580
Latvia,LVA,BALTICS,2274735,64589,35.2000,0.8200,-2.2300,20333.0000,10200,99.8000,321.4000,29.6700,69.8600,3.0000,45536.0000,13.6600,0.0400,0.2610,0.6990
Lebanon,LBN,"NEAR EAST",3874050,10400,372.5000,42401.0000,0.0000,24.5200,4800,87.4000,255.6000,16.6200,69.4000,NULL,18.5200,44348.0000,0.1200,0.2100,0.6700
Lesotho,LSO,"SUB-SAHARAN AFRICA",2022331,30355,66.6000,0.0000,-0.7400,84.2300,3000,84.8000,44035.0000,32051.0000,89.0000,3.0000,24.7500,28.7100,0.1630,0.4430,0.3940
Liberia,LBR,"SUB-SAHARAN AFRICA",3042004,111370,27.3000,0.5200,0.0000,128.8700,1000,57.5000,43892.0000,34759.0000,93.7700,2.0000,44.7700,43853.0000,0.7690,0.0540,0.1770
Libya,LBY,"NORTHERN AFRICA",5900754,1759540,3.4000,0.1000,0.0000,44006.0000,6400,82.6000,127.1000,43891.0000,98.7800,NULL,26.4900,17593.0000,0.0760,0.4990,0.4250
Liechtenstein,LIE,"WESTERN EUROPE",33987,160,212.4000,0.0000,31138.0000,44016.0000,25000,100.0000,585.5000,25.0000,75.0000,4.0000,44470.0000,43282.0000,0.0600,0.3900,0.5500
Lithuania,LTU,BALTICS,3585906,65200,55.0000,0.1400,-0.7100,32660.0000,11400,99.6000,223.4000,45.2200,53.8700,NULL,27607.0000,36069.0000,0.0550,0.3250,0.6200
Luxembourg,LUX,"WESTERN EUROPE",474413,2586,183.5000,0.0000,35643.0000,29677.0000,55100,100.0000,515.4000,23.2800,76.3200,NULL,34639.0000,15189.0000,0.0100,0.1300,0.8600
Macau,MAC,"ASIA (EX. NEAR EAST)",453125,28,16183.0000,146.4300,31503.0000,14336.0000,19400,94.5000,384.9000,0.0000,100.0000,2.0000,17746.0000,17258.0000,0.0010,0.0720,0.9270
"Macedonia FYR",MKD,"EASTERN EUROPE",2050554,25333,80.9000,0.0000,-1.4500,44084.0000,6700,NULL,260.0000,22.2600,75.9300,3.0000,43873.0000,28338.0000,0.1180,0.3190,0.5630
Madagascar,MDG,"SUB-SAHARAN AFRICA",18595469,587040,31.7000,0.8200,0.0000,76.8300,800,68.9000,43985.0000,44017.0000,93.9100,2.0000,41.4100,44146.0000,0.2760,0.1650,0.5590
Malawi,MWI,"SUB-SAHARAN AFRICA",13013926,118480,109.8000,0.0000,0.0000,103.3200,600,62.7000,44081.0000,23.3800,75.1300,2.0000,43.1300,19.3300,0.3420,0.1580,0.4990
Malaysia,MYS,"ASIA (EX. NEAR EAST)",24385858,329750,74.0000,15342.0000,0.0000,44029.0000,9000,88.7000,179.0000,17654.0000,76.9100,2.0000,22.8600,43956.0000,0.0840,0.4800,0.4360
Maldives,MDV,"ASIA (EX. NEAR EAST)",359008,300,1196.7000,214.6700,0.0000,56.5200,3900,97.2000,90.0000,13.3300,70.0000,2.0000,34.8100,43989.0000,0.2000,0.1800,0.6200
Mali,MLI,"SUB-SAHARAN AFRICA",11716829,1240000,9.5000,0.0000,-0.3300,116.7900,900,46.4000,43927.0000,30011.0000,96.1500,2.0000,49.8200,16.8900,0.4500,0.1700,0.3800
